date,home_team,away_team,home_elo_before,away_elo_before,outcome,tournament
2015-09-08,United States,Brazil,1541.5840643443607,1562.609848946604,away_win,Friendly
2015-09-08,England,Switzerland,1507.511140107091,1458.0639519427455,home_win,UEFA Euro qualification
2015-09-08,Mexico,Argentina,1503.9765009543237,1610.6610779695177,draw,Friendly
2015-09-08,South Africa,Senegal,1451.407470302148,1512.50219522964,home_win,Friendly
2015-09-08,Sweden,Austria,1492.8442439224348,1500.616825350968,away_win,UEFA Euro qualification
2015-10-03,Jordan,Iraq,1387.9785168370684,1463.2183331264987,home_win,Friendly
2015-10-08,Argentina,Ecuador,1607.6834504592405,1506.078785127978,away_win,FIFA World Cup qualification
2015-10-08,Jordan,Australia,1400.1108629009955,1430.5240609433163,home_win,FIFA World Cup qualification
2015-10-09,Morocco,Côte d'Ivoire,1491.1434325418993,1519.5672092064042,away_win,Friendly
2015-10-10,United States,Mexico,1532.188497376933,1506.954128464601,away_win,Friendly
2015-10-10,Czechia,Türkiye,1521.112256171374,1501.822240207689,away_win,UEFA Euro qualification
2015-10-13,Algeria,Senegal,1466.940754965125,1500.7616508303074,home_win,Friendly
2015-10-13,IR Iran,Japan,1494.1038200671633,1524.8453801161293,draw,Friendly
2015-10-13,Netherlands,Czechia,1546.2345411634633,1502.641633554661,away_win,UEFA Euro qualification
2015-10-13,Paraguay,Argentina,1481.6142009047066,1581.9958377879273,draw,FIFA World Cup qualification
2015-10-13,Uruguay,Colombia,1504.718060078015,1584.1086327518192,home_win,FIFA World Cup qualification
2015-11-12,Ecuador,Uruguay,1531.7663977992913,1529.210234407382,home_win,FIFA World Cup qualification
2015-11-13,Spain,England,1476.3597922459132,1522.537212978361,home_win,Friendly
2015-11-13,Argentina,Brazil,1576.3729991989635,1572.0054159140318,draw,FIFA World Cup qualification
2015-11-13,France,Germany,1535.5231301666595,1657.8319871851081,home_win,Friendly
2015-11-13,Qatar,Türkiye,1521.0796722966147,1520.292862824402,away_win,Friendly
2015-11-17,England,France,1511.2158911549952,1548.9049046255304,home_win,Friendly
2015-11-17,Austria,Switzerland,1517.7253931152834,1443.0378790714756,away_win,Friendly
2015-11-17,Colombia,Argentina,1559.6164584224523,1576.121594137722,away_win,FIFA World Cup qualification
2016-01-27,Egypt,Jordan,1444.899768275162,1421.8571292811835,away_win,Friendly
2016-03-24,Czechia,Scotland,1522.3259165893426,1481.316131837897,away_win,Friendly
2016-03-24,Ecuador,Paraguay,1551.6192558611185,1487.2370394936704,draw,FIFA World Cup qualification
2016-03-24,Türkiye,Sweden,1530.31550898271,1475.7356761581193,home_win,Friendly
2016-03-25,Brazil,Uruguay,1572.2568209752733,1509.3573763455547,draw,FIFA World Cup qualification
2016-03-25,Canada,Mexico,1499.4442279071852,1517.6791575504099,away_win,FIFA World Cup qualification
2016-03-25,Haiti,Panama,1474.7693725981865,1453.2897575436614,draw,FIFA World Cup qualification
2016-03-25,Netherlands,France,1526.5502581287817,1537.8243626908043,away_win,Friendly
2016-03-26,Cabo Verde,Morocco,1513.5069926342678,1481.9597143093126,away_win,African Cup of Nations qualification
2016-03-26,Germany,England,1644.4502127262372,1522.2964330897214,away_win,Friendly
2016-03-29,Switzerland,Bosnia and Herzegovina,1455.1550462661244,1497.5560212952792,away_win,Friendly
2016-03-29,Portugal,Belgium,1497.1247950349061,1589.3189309823813,home_win,Friendly
2016-03-29,Paraguay,Brazil,1490.901331208312,1568.6750833443004,draw,FIFA World Cup qualification
2016-03-29,Panama,Haiti,1454.5246506765889,1473.534479465259,home_win,FIFA World Cup qualification
2016-03-29,Morocco,Cabo Verde,1501.0443681042561,1494.4223388393243,home_win,African Cup of Nations qualification
2016-03-29,Sweden,Czechia,1467.2938136526134,1511.151011461739,draw,Friendly
2016-03-29,England,Netherlands,1535.6742539282552,1516.8746390961899,away_win,Friendly
2016-03-29,Colombia,Ecuador,1540.565856321591,1547.9549641464769,home_win,FIFA World Cup qualification
2016-03-29,Austria,Türkiye,1505.6082259206346,1538.757371488216,away_win,Friendly
2016-03-29,Mexico,Canada,1536.6304333852581,1480.492952072337,home_win,FIFA World Cup qualification
2016-03-29,Australia,Jordan,1408.7777945631283,1432.519379035292,home_win,FIFA World Cup qualification
2016-05-22,England,Türkiye,1525.1336849833272,1547.806147041385,home_win,Friendly
2016-05-27,England,Australia,1535.7853261723913,1430.1423467586944,home_win,Friendly
2016-05-28,Mexico,Paraguay,1553.4267314909785,1495.3050374143613,home_win,Friendly
2016-05-28,Switzerland,Belgium,1446.3694215528105,1576.7259472929584,away_win,Friendly
2016-05-29,Bosnia and Herzegovina,Spain,1506.341646008593,1487.681114069279,away_win,Friendly
2016-05-29,Portugal,Norway,1509.717778724329,1479.1489448605782,home_win,Friendly
